state,user_name,user_id
active,Emily Miller,U700672
active,Daniel Phillips,U966556
active,Chloe Turner,U812256
active,Sophia Cook,U938803
deleted,Isabella Watson,U295426
deleted,Noah Thomas,U531649
active,Mia Hill,U511908
active,Sophia Morgan,U153712
active,Sophia Williams,U652606
active,Madison Jackson,U522793
active,Daniel Bennett,U872282
active,William Roberts,U977454
active,William Baker,U533030
active,Alexander Bell,U617555
deleted,Sophia Thompson,U266217
active,Sophia Thompson,U180698
active,William Phillips,U833377
active,Emma King,U215381
active,Sophia Watson,U189100
active,Abigail Hughes,U297015
deleted,Abigail Harris,U837978
deleted,Aiden Allen,U288161
active,Chloe Wood,U346561
active,Madison Thomas,U934579
active,Noah Hern,U176749
active,Aiden Morris,U556850
active,Madison Moore,U700516
active,William Allen,U979173
active,Isabella Gray,U401211
active,Michael Parker,U266829
active,Anthony Watson,U819537
active,Aiden Richardson,U806445
active,Alexander Reed,U213037
deleted,Chloe Rogers,U144991
active,Emma Green,U358693
active,Olivia Price,U387250
active,Michael Cox,U824115
active,William Gray,U139455
active,Noah Nelson,U292615
active,Jayden Murphy,U472423
active,Sophia Cox,U507687
active,Ethan Hughes,U948417
active,Ava Turner,U877257
active,Emma Stewart,U476616
active,Alexander Stewart,U192467
active,Alexander Cruz,U917218
active,Ava Watson,U443006
